VANID	DWID	Sex	Age	RaceName	CountyName	2015:Cat:VProp 	Ideal
4469681	85710436	F	63	Black	Wake	0	71.3
4475197	85716023	F	63	Black	Wake	0	80.3
4480478	85721394	F	35	Black	Wake	0	61
4486968	85727981	M	44	Black	Wake	0	71.8
4384067	85623838	M	47	Black	Wake	0	58.8
4398170	85638091	M	53	Black	Wake	61.9	27.74
4498540	85739741	M	59	Black	Wake	71.2	46.75
4498753	85739959	F	38	Black	Wake	74.7	49.35
4450140	85690603	F	36	Black	Wake	0	70.4
4482772	85723720	F	35	Black	Wake	0	72
4506190	85747537	M	63	Black	Wake	62.2	70.65
4446524	85686950	M	73	Black	Wake	69.8	66.89
4523843	85765538	M	49	Middle Eastern	Wake	64	8.6
4529842	85771635	F	35	Hispanic	Wake	0	71.6
4524023	85765723	F	38	Asian	Wake	71.3	67.19
4526021	85767760	F	47	Black	Wake	0	73.3
4503976	85745286	M	44	Hispanic	Wake	0	81.9
4578080	85821114	M	63	Hispanic	Wake	0	30
4510507	85751931	M	56	Black	Wake	69.9	80.89
4581214	85824343	M	57	Middle Eastern	Wake	0	87.4
4512727	85754196	F	76	Black	Wake	0	73.1
4522742	85764423	F	50	Black	Wake	0	64.8
4583629	85826848	M	40	Black	Wake	0	61.6
4590794	85834322	F	63	Black	Wake	0	75.7
4526258	85767999	M	50	Black	Wake	68.7	56.75
4530301	85772099	F	35	Black	Wake	0	72.4
4530344	85772143	F	46	Black	Wake	0	69.4
4539601	85781556	M	41	Middle Eastern	Wake	63.4	56.76
4540467	85782438	F	47	Black	Wake	0	79.2
4490720	85731802	F	39	Black	Wake	0	69
4490897	85731983	M	47	Asian	Wake	74.1	49.39
4541226	85783219	M	31	Black	Wake	0	39.7
4553481	85795822	F	51	Middle Eastern	Wake	66	53.58
4561303	85803858	F	51	Black	Wake	73.8	38.53
4498942	85740149	M	44	Asian	Wake	44.7	45.92
4503845	85745149	F	49	Black	Wake	77.4	60.99
4572809	85815689	F	40	Black	Wake	0	64.5
4527987	85769750	F	49	Middle Eastern	Wake	65.4	54.29
4575387	85818355	F	39	Black	Wake	0	69.2
4586845	85830200	F	38	Black	Wake	0	66.6
4591541	85835111	F	44	Black	Wake	47.4	58.78
4603051	85847106	M	40	Black	Wake	0	68.2
4728677	173193648	F	37	Black	Wake	77.7	61.55
4605242	85849354	F	55	Black	Wake	0	78.4
4606679	85850875	F	45	Black	Wake	0	78.1
4653009	173117980	M	78	Asian	Wake	0	48.4
4593950	85837610	F	55	Hispanic	Wake	69.7	73.69
9162773	319866629	F	49	Black	Wake	65.4	26.7
9636958	323559676	F	39	Black	Wake	0	67.8
8594481	234185162	M	44	Asian	Wake	82.3	45.77
5031225	173496196	F	30	Black	Wake	0	61.9
8786595	234377276	M	31	Hispanic	Wake	0	51.3
7212910	232803591	F	47	Black	Wake	0	74.8
7237872	232828553	F	39	Black	Wake	0	70.2
8043080	233633761	F	62	Asian	Wake	0	49.6
8394488	233985169	F	66	Black	Wake	0	69.2
6255788	231846469	F	59	Asian	Wake	32.8	47.09
7368524	232959205	F	25	Black	Wake	0	66.5
9689030	323613516	F	44	Black	Wake	0	64.4
5311078	173776049	F	64	Black	Wake	0	66
9152414	319856287	F	41	Black	Wake	0	68.6
9048078	319751946	M	42	Asian	Wake	54.2	47.39
9954006	349418553	F	29	Black	Wake	0	69.7
9950439	343966308	F	32	Black	Wake	0	73.7
9980949	349479786	F	24	Black	Wake	0	62.1
5586316	174051287	F	28	Black	Wake	0	83.2
8778125	234368806	F	32	Hispanic	Wake	0	70.7
