Middl	DWID	Sex	Age	RaceName	CountyName 
1029508	171536254	F	29	Caucasian	Dare
1036041	171542787	F	49	Caucasian	Davidson
1038004	171544750	M	60	Caucasian	Davidson
1038392	171545138	F	28	Caucasian	Alamance
1041821	171548567	M	54	Caucasian	Guilford
1046356	171553102	F	47	Caucasian	Davidson
1047121	171553867	F	63	Caucasian	Davidson
1047870	171554616	M	28	Caucasian	Davidson
1067475	171574221	F	42	Caucasian	Davie
1067502	171574248	F	47	Caucasian	Davie
1070745	171577491	M	56	Caucasian	Davie
1071497	171578243	M	74	Caucasian	Davie
1073864	171580610	M	60	Caucasian	Davie
1074269	171581015	F	73	Caucasian	Davie
1077015	171583761	F	55	Caucasian	Davie
1077781	171584527	F	75	Caucasian	Davie
1100601	171607347	F	30	Caucasian	Duplin
1102868	171609614	M	68	Caucasian	Duplin
1104220	171610966	F	71	Caucasian	Durham
1104363	171611109	F	73	Black	Durham
1104511	171611257	F	66	Black	Durham
1104792	171611538	F	64	Black	Durham
1105270	171612016	M	66	Black	Durham
1106777	171613523	F	72	Black	Durham
1108125	171614871	M	61	Caucasian	Durham
1108368	171615114	F	67	Caucasian	Durham
1108515	171615261	F	64	Caucasian	Durham
1109172	171615918	F	65	Caucasian	Durham
1109502	171616248	F	59	Caucasian	Durham
1109509	171616255	F	61	Caucasian	Durham
1109680	171616426	F	63	Caucasian	Durham
1110019	171616765	M	78	Black	Durham
1111171	171617917	F	55	Caucasian	Durham
1111614	171618360	F	91	Caucasian	Durham
1111927	171618673	F	66	Caucasian	Durham
1112461	171619207	F	72	Caucasian	Durham
1112467	171619213	F	57	Caucasian	Durham
1112472	171619218	F	59	Caucasian	Durham
1112474	171619220	F	69	Black	Durham
1112647	171619393	F	52	Caucasian	Durham
1112744	171619490	F	58	Black	Durham
1112947	171619693	F	84	Black	Durham
1113015	171619761	F	69	Caucasian	Durham
1113482	171620228	F	53	Caucasian	Durham
1113545	171620291	M	67	Black	Durham
1113700	171620446	F	65	Black	Durham
1113932	171620678	F	61	Black	Durham
1114102	171620848	M	54	Black	Durham
1114669	171621415	M	63	Caucasian	Durham
1115380	171622126	F	67	Black	Durham
1115861	171622607	M	65	Caucasian	Durham
1115862	171622608	F	68	Caucasian	Durham
1115895	171622641	F	74	Black	Durham
1116751	171623497	F	77	Black	Durham
1117005	171623751	F	60	Caucasian	Durham
1117009	171623755	F	67	Black	Durham
1117474	171624220	F	67	Caucasian	Durham
1118783	171625529	M	68	Caucasian	Durham
1118951	171625697	M	69	Caucasian	Durham
1119002	171625748	F	58	Caucasian	Durham
1119192	171625938	F	57	Caucasian	Durham
1119446	171626192	M	76	Caucasian	Durham
1119887	171626633	M	66	Caucasian	Durham
1119927	171626673	M	79	Caucasian	Durham
1119948	171626694	F	66	Caucasian	Durham
1120078	171626824	F	67	Caucasian	Durham
1120728	171627474	M	67	Caucasian	Durham
1120751	171627497	M	64	Black	Durham
1120829	171627575	M	69	Black	Durham
1120863	171627609	F	67	Caucasian	Durham
1120871	171627617	M	64	Black	Durham
1120942	171627688	M	76	Caucasian	Durham
1121050	171627796	F	63	Caucasian	Durham
1121359	171628105	F	63	Black	Durham
1121371	171628117	F	64	Caucasian	Durham
1122336	171629082	M	62	Caucasian	Durham
1122479	171629225	F	52	Black	Durham
1122611	171629357	F	64	Caucasian	Durham
1122677	171629423	M	64	Caucasian	Durham
1122739	171629485	F	73	Caucasian	Durham
1123011	171629757	F	74	Caucasian	Durham
1123101	171629847	F	58	Caucasian	Durham
1123507	171630253	F	67	Black	Durham
1123966	171630712	F	63	Caucasian	Durham
1124906	171631652	F	58	Caucasian	Durham
1125083	171631829	F	62	Caucasian	Durham
1125294	171632040	F	73	Caucasian	Chatham
1125570	171632316	M	66	Caucasian	Durham
1125605	171632351	F	57	Caucasian	Durham
1125804	171632550	M	61	Caucasian	Durham
1126270	171633016	F	57	Caucasian	Durham
1126559	171633305	F	60	Caucasian	Durham
1126562	171633308	F	61	Caucasian	Durham
1126679	171633425	F	57	Caucasian	Durham
1126791	171633537	F	69	Caucasian	Durham
1126975	171633721	M	61	Caucasian	Durham
1127063	171633809	M	62	Caucasian	Durham
1127283	171634029	F	50	Black	Durham
1127376	171634122	M	72	Caucasian	Durham
1127458	171634204	F	70	Caucasian	Durham
1127597	171634343	F	60	Caucasian	Durham
1128022	171634768	F	71	Caucasian	Durham
1128325	171635071	F	63	Black	Durham
1128747	171635493	F	52	Caucasian	Durham
1129236	171635982	F	60	Caucasian	Durham
1129576	171636322	F	60	Caucasian	Durham
1130381	171637127	F	61	Caucasian	Durham
1130461	171637207	F	52	Caucasian	Durham
1130599	171637345	F	60	Caucasian	Durham
1130636	171637382	F	56	Caucasian	Durham
1130666	171637412	M	57	Caucasian	Durham
1130723	171637469	F	49	Caucasian	Durham
1131018	171637764	F	57	Caucasian	Durham
1131092	171637838	M	77	Black	Durham
1131329	171638075	M	62	Black	Durham
1131843	171638589	F	58	Black	Durham
1131849	171638595	F	62	Caucasian	Durham
1132674	171639420	F	59	Caucasian	Durham
1132885	171639631	F	59	Caucasian	Durham
1133165	171639911	F	57	Caucasian	Durham
1133453	171640199	F	65	Black	Durham
1133875	171640621	F	56	Caucasian	Durham
1134046	171640792	F	63	Caucasian	Durham
1134597	171641343	F	56	Caucasian	Durham
1134986	171641732	M	71	Black	Durham
1135200	171641946	F	62	Caucasian	Durham
1135215	171641961	F	55	Caucasian	Durham
1135418	171642164	M	59	Caucasian	Durham
1135483	171642229	M	62	Caucasian	Durham
1135498	171642244	F	51	Caucasian	Durham
1135614	171642360	F	52	Caucasian	Durham
1135626	171642372	F	55	Caucasian	Durham
1135720	171642466	F	62	Caucasian	Durham
1135793	171642539	F	63	Caucasian	Durham
1135823	171642569	F	54	Black	Durham
1135824	171642570	M	56	Caucasian	Durham
1135845	171642591	F	69	Caucasian	Durham
1136598	171643344	F	53	Caucasian	Durham
1136664	171643410	F	51	Caucasian	Durham
1137588	171644334	F	62	Caucasian	Durham
1137647	171644393	F	52	Caucasian	Durham
1137878	171644624	F	69	Caucasian	Durham
1137921	171644667	M	64	Caucasian	Durham
1137992	171644738	F	56	Caucasian	Durham
1138422	171645168	F	70	Caucasian	Durham
1138553	171645299	F	71	Caucasian	Durham
1138643	171645389	F	73	Caucasian	Durham
1138792	171645538	F	58	Caucasian	Durham
1138942	171645688	F	71	Caucasian	Durham
431663	170938409	M	71	Caucasian	Buncombe
432495	170939241	F	38	Caucasian	Buncombe
433423	170940169	F	40	Caucasian	Buncombe
433901	170940647	F	26	Caucasian	Wake
